Date,Open,High,Low,Close,Adj Close,Volume
04-09-2015,1305.699951,1307.449951,1269.569946,1273.719971,1131.502197,2426396
07-09-2015,1276.5,1279.969971,1266.349976,1269.880005,1128.090942,1759184
08-09-2015,1272.5,1282.050049,1261.75,1270.150024,1128.330933,1787746
09-09-2015,1281.469971,1287,1272,1274.880005,1132.532471,2045076
10-09-2015,1271,1289.25,1263.5,1272.699951,1130.596436,2665818
11-09-2015,1273.25,1284.199951,1270.300049,1276,1133.527832,1592672
14-09-2015,1282.5,1282.5,1271.5,1275.819946,1133.367676,1589318
15-09-2015,1275.819946,1279.449951,1268,1268.619995,1126.971802,1379900
16-09-2015,1277.5,1282.5,1270.530029,1275.180054,1132.799194,1756816
18-09-2015,1282.5,1293,1269.5,1275.619995,1133.190186,2455294
21-09-2015,1275,1278.550049,1266.599976,1275.530029,1133.110229,1108840
22-09-2015,1278.75,1286.199951,1245,1263.400024,1122.334595,2081246
23-09-2015,1267.150024,1278.880005,1256.300049,1266.319946,1124.928467,1228352
24-09-2015,1267.75,1295,1264.949951,1290.199951,1146.14209,2354254
28-09-2015,1297,1309.5,1289.75,1296.849976,1152.049805,2366812
29-09-2015,1291.680054,1317,1284.930054,1294.119995,1149.624634,3325952
30-09-2015,1321.849976,1321.849976,1285.469971,1294.030029,1149.544556,3368336
01-10-2015,1299.5,1324.969971,1296.099976,1322.300049,1174.658081,2834408
05-10-2015,1326.349976,1385,1326.349976,1355.819946,1204.435425,4807306
06-10-2015,1362.5,1363,1342,1350,1199.265137,3979590
07-10-2015,1346.969971,1358.5,1323.469971,1326.969971,1178.806519,2065530
08-10-2015,1335,1339.180054,1310,1316.900024,1169.860962,2357550
09-10-2015,1325.25,1325.300049,1304,1314.819946,1168.013428,2249724
12-10-2015,1327.5,1330.180054,1293.5,1296.300049,1151.561035,2455912
13-10-2015,1301.400024,1306,1283.800049,1299.280029,1154.208496,6179712
14-10-2015,1274,1274,1240,1241.849976,1103.190674,8337128
15-10-2015,1245,1251.75,1232.5,1233.880005,1096.110474,3215710
16-10-2015,1240.449951,1246,1235,1236,1097.993774,2333828
19-10-2015,1245,1247.469971,1227.930054,1244.380005,1105.43811,3130642
20-10-2015,1248.119995,1265,1247.800049,1263.380005,1122.316895,2695084
21-10-2015,1267.5,1271,1261.119995,1265,1128.669556,1929688
23-10-2015,1274,1274,1263.650024,1268.569946,1136.797241,2335398
26-10-2015,1274.5,1274.5,1257.550049,1268.280029,1136.537476,1414630
27-10-2015,1265.030029,1272.449951,1260.180054,1265.550049,1134.091064,1530420
28-10-2015,1255.030029,1266.780029,1255.030029,1264.550049,1133.194702,1255342
29-10-2015,1266.780029,1267.699951,1245.030029,1247.680054,1118.077393,3130316
30-10-2015,1250,1255.949951,1242.5,1247.599976,1118.005615,1516696
02-11-2015,1250,1261.400024,1243.780029,1258.680054,1127.93457,1319294
03-11-2015,1264,1273.900024,1259.25,1271.719971,1139.620117,1364906
04-11-2015,1272.5,1273.599976,1260,1266.900024,1135.300415,991434
05-11-2015,1265.400024,1267.469971,1240,1241.319946,1112.378052,1596098
06-11-2015,1246,1259.119995,1241.719971,1252.880005,1122.737061,908024
09-11-2015,1247.5,1251.380005,1234.300049,1235.680054,1107.323608,2021556
10-11-2015,1236.469971,1238.5,1225,1229.069946,1101.400269,1361920
13-11-2015,1219.030029,1219.030029,1193.280029,1198.699951,1074.184937,2743232
16-11-2015,1195,1195,1178,1187.300049,1063.96936,2043528
17-11-2015,1190.25,1199.219971,1187.5,1195.280029,1071.120361,1985028
18-11-2015,1194.449951,1194.449951,1173,1175.719971,1053.592041,1520352
19-11-2015,1182.680054,1190.800049,1176,1181.280029,1058.574707,1866906
20-11-2015,1183.25,1211.780029,1180.969971,1199.180054,1074.615112,2012126
23-11-2015,1202.650024,1206.699951,1191.119995,1195.530029,1071.34436,1088082
